layer_index,mean_abs_weight,max_abs_weight,sum_abs_weight
10,0.3175864604941906,0.9126435952468201,20.325533471628198
3,0.3106794386526822,0.93747382847957,19.883484073771662
11,0.2807240647619901,1.1200957816800543,17.966340144767365
5,0.2645838049956205,0.9546278113026722,16.933363519719713
9,0.26401979754157967,0.7318976170252282,16.8972670426611
8,0.24528003508045904,1.0743023702100052,15.697922245149378
1,0.2419529608308415,2.127676475628305,15.484989493173856
0,0.2385452186017858,1.4651609229176683,15.26689399051429
6,0.23815140375929744,0.9648607158248332,15.241689840595036
4,0.2227202801862888,0.9062337405937513,14.254097931922484
2,0.20507304651940284,0.9787761465996897,13.124674977241781
7,0.200154373751571,0.6565460371961936,12.809879920100544
