start_layer,end_layer,band_width,pc1_variance_ratio,pc2_variance_ratio,pca_centroid_distance
2,4,3,0.4394334380193277,0.09350293364571838,3.8631521990239097
3,5,3,0.42912310996715947,0.09886112011114045,3.8314548873879266
1,3,3,0.4558686390588654,0.08665047535917965,3.4651310757549783
0,2,3,0.48936680410524613,0.08095305909246645,2.8750426648700045
4,6,3,0.43238405624130144,0.09853878339127481,2.65037474966937
5,7,3,0.41474564818166626,0.10487968700787582,1.751068870470518
8,10,3,0.4292959060742245,0.06493267586728967,1.6668448288112712
9,11,3,0.42047960818937036,0.06987817834098563,0.9604006902177596
7,9,3,0.4052607188797183,0.08513717048421307,0.8705727033262093
6,8,3,0.42101283962337616,0.10307688442701446,0.5791519198800668
